rowOrder;titleOrderInRow;positionScore
8;61;20.476330281097418
8;62;19.452513767042547
8;63;18.47988807869042
8;64;17.555893674755897
8;65;16.6780989910181
8;66;15.844194041467194
8;67;15.051984339393833
8;68;14.299385122424141
8;69;13.584415866302933
8;70;12.905195072987786
9;1;529.2661612499999
9;2;502.80285318749986
9;3;477.6627105281249
9;4;453.7795750017186
9;5;408.40161750154675
9;6;326.7212940012374
9;7;310.3852293011755
9;8;294.86596783611674
9;9;280.1226694443109
9;10;266.11653597209533
9;11;252.81070917349055
9;12;240.170173714816
9;13;228.16166502907518
9;14;216.7535817776214
9;15;205.91590268874032
9;16;195.6201075543033
9;17;185.83910217658814
9;18;176.54714706775871
9;19;167.71978971437076
9;20;159.33380022865222
9;21;151.36711021721962
9;22;143.79875470635864
9;23;136.6088169710407
9;24;129.77837612248868
9;25;123.28945731636423
9;26;117.12498445054602
9;27;111.26873522801871
9;28;105.70529846661778
9;29;100.42003354328688
9;30;95.39903186612253
9;31;90.6290802728164
9;32;86.09762625917557
9;33;81.79274494621679
9;34;77.70310769890594
9;35;73.81795231396063
9;36;70.1270546982626
9;37;66.62070196334946
9;38;63.289666865181985
9;39;60.125183521922885
9;40;57.11892434582674
9;41;54.2629781285354
9;42;51.54982922210863
9;43;48.972337761003196
